epoch,batch,iteration,update,loss_discriminator,D(x),loss_generator,D(G(z)),D_up(G(z)),checkpoint,MS-SWD,LoS,sampling
1,1,1,1,2.3801774978637695,-2.5625,8.453404426574707,-8.4609375,-8.453125,True,0.2376536,0.4916603,True
1,2,2,1,2.38818621635437,-2.5703125,8.414844512939453,-8.421875,-8.4140625,False,,,False
1,3,3,1,2.3509538173675537,-2.525390625,7.795654296875,-8.4296875,-7.796875,False,,,False
1,4,4,1,2.1320717334747314,-2.255859375,6.1191511154174805,-6.7265625,-6.1171875,False,,,False
1,5,5,1,1.9551982879638672,-2.017578125,4.373168468475342,-4.828125,-4.3515625,False,,,False
1,6,6,1,1.8619139194488525,-1.8486328125,2.977050542831421,-3.322265625,-2.904296875,False,,,False
1,7,7,1,1.7733289003372192,-1.677734375,2.2374074459075928,-2.4296875,-2.1171875,False,,,False
1,8,8,1,1.7189974784851074,-1.4580078125,1.8644604682922363,-1.6611328125,-1.67578125,False,,,False
1,9,9,1,1.6394308805465698,-1.3125,1.6259984970092773,-1.46875,-1.3935546875,False,,,False
1,10,10,1,1.6229948997497559,-1.2158203125,1.4819986820220947,-1.228515625,-1.2119140625,False,,,False
1,11,11,1,1.547672152519226,-1.0703125,1.3505964279174805,-1.119140625,-1.04296875,False,,,False
1,12,12,1,1.509187936782837,-0.9208984375,1.1991914510726929,-0.91162109375,-0.83251953125,False,,,False
1,13,13,1,1.4592785835266113,-0.80029296875,1.1237189769744873,-0.822265625,-0.72705078125,False,,,False
1,14,14,1,1.427628755569458,-0.6572265625,1.0266170501708984,-0.66064453125,-0.5810546875,False,,,False
1,15,15,1,1.3839198350906372,-0.52587890625,0.9778844118118286,-0.57861328125,-0.5048828125,False,,,False
1,16,16,1,1.3839820623397827,-0.447998046875,0.9189494252204895,-0.469482421875,-0.408935546875,False,,,False
1,17,17,1,1.3646692037582397,-0.348388671875,0.8718130588531494,-0.3916015625,-0.32958984375,False,,,False
1,18,18,1,1.350416660308838,-0.27783203125,0.8652061223983765,-0.34423828125,-0.31787109375,False,,,False
1,19,19,1,1.3384904861450195,-0.22705078125,0.8562361001968384,-0.31591796875,-0.302490234375,False,,,False
1,20,20,1,1.3293392658233643,-0.2020263671875,0.8482921123504639,-0.310791015625,-0.288818359375,False,,,False
1,21,21,1,1.3213348388671875,-0.158447265625,0.8511978387832642,-0.283447265625,-0.294189453125,False,,,False
1,22,22,1,1.3221850395202637,-0.147216796875,0.839635968208313,-0.27001953125,-0.27392578125,False,,,False
1,23,23,1,1.3284518718719482,-0.1395263671875,0.8312935829162598,-0.2476806640625,-0.25927734375,False,,,False
1,24,24,1,1.3241510391235352,-0.13134765625,0.8380361199378967,-0.249755859375,-0.27099609375,False,,,False
1,25,25,1,1.3116850852966309,-0.1207275390625,0.833288311958313,-0.26806640625,-0.26220703125,False,,,False
1,26,26,1,1.3320852518081665,-0.09869384765625,0.7907569408416748,-0.2000732421875,-0.1864013671875,False,,,False
1,27,27,1,1.3133150339126587,-0.061920166015625,0.8180367946624756,-0.20751953125,-0.235595703125,False,,,False
1,28,28,1,1.3244967460632324,-0.07891845703125,0.8012609481811523,-0.1986083984375,-0.205322265625,False,,,False
1,29,29,1,1.315738558769226,-0.06317138671875,0.8174867630004883,-0.203857421875,-0.234375,False,,,False
1,30,30,1,1.3198044300079346,-0.053436279296875,0.8154271841049194,-0.185302734375,-0.23095703125,False,,,False
1,31,31,1,1.3132953643798828,-0.07763671875,0.8149968981742859,-0.2225341796875,-0.22998046875,False,,,False
1,32,32,1,1.3157901763916016,-0.059844970703125,0.7977024912834167,-0.2001953125,-0.198974609375,False,,,False
1,33,33,1,1.308916687965393,-0.03887939453125,0.8264933824539185,-0.196044921875,-0.250732421875,False,,,False
1,34,34,1,1.3109840154647827,-0.067138671875,0.8179007172584534,-0.2177734375,-0.2352294921875,False,,,False
1,35,35,1,1.3015427589416504,-0.054962158203125,0.8197728395462036,-0.2274169921875,-0.23876953125,False,,,False
1,36,36,1,1.3022925853729248,-0.04193115234375,0.8334239721298218,-0.2137451171875,-0.2626953125,False,,,False
1,37,37,1,1.2666066884994507,-0.03961181640625,0.8620243668556213,-0.294189453125,-0.311767578125,False,,,False
1,38,38,1,1.3021743297576904,-0.004695892333984375,0.8264376521110535,-0.1802978515625,-0.250732421875,False,,,False
1,39,39,1,1.2786351442337036,-0.0325927734375,0.8573205471038818,-0.258544921875,-0.304931640625,False,,,False
1,40,40,1,1.28033447265625,-0.062255859375,0.8666362166404724,-0.283203125,-0.32080078125,False,,,False
1,41,41,1,1.2559523582458496,-0.032012939453125,0.8719911575317383,-0.31103515625,-0.330322265625,False,,,False
1,42,42,1,1.2882100343704224,0.00705718994140625,0.84364253282547,-0.2008056640625,-0.281005859375,False,,,False
1,43,43,1,1.279350757598877,-0.043548583984375,0.8224748969078064,-0.267333984375,-0.2437744140625,False,,,False
1,44,44,1,1.2784978151321411,0.0192718505859375,0.8259162902832031,-0.211669921875,-0.249755859375,False,,,False
1,45,45,1,1.2705541849136353,0.018157958984375,0.8295064568519592,-0.2305908203125,-0.256103515625,False,,,False
1,46,46,1,1.276410698890686,0.0017833709716796875,0.8193596601486206,-0.232177734375,-0.238037109375,False,,,False
1,47,47,1,1.2678576707839966,0.03582763671875,0.8029782772064209,-0.220947265625,-0.208740234375,False,,,False
1,48,48,1,1.2633225917816162,0.07916259765625,0.8677334785461426,-0.194091796875,-0.322265625,False,,,False
1,49,49,1,1.225508213043213,-0.0095367431640625,0.8965361714363098,-0.36376953125,-0.37060546875,False,,,False
1,50,50,1,1.2522985935211182,0.049774169921875,0.917626678943634,-0.2445068359375,-0.406494140625,False,,,False
