epoch,batch,iteration,update,loss_discriminator,D(x),loss_generator,D(G(z)),D_up(G(z)),checkpoint,MS-SWD,LoS,sampling
1,1,1,1,1.1564000844955444,1.9267578125,0.4781196117401123,0.529296875,0.52978515625,True,0.12419584,0.52080274,True
1,2,2,1,2.1654655933380127,1.94140625,0.3274145722389221,1.6943359375,1.693359375,False,,,False
1,3,3,1,2.82910418510437,2.041015625,0.13432353734970093,2.564453125,2.564453125,False,,,False
1,4,4,1,3.451894521713257,2.072265625,0.0681195929646492,3.255859375,3.255859375,False,,,False
1,5,5,1,3.820042371749878,2.0625,0.04425488039851189,3.6484375,3.6484375,False,,,False
1,6,6,1,4.474863529205322,2.00390625,0.055674225091934204,4.32421875,2.90234375,False,,,False
1,7,7,1,3.5542404651641846,0.7939453125,0.1549457609653473,3.126953125,1.79296875,False,,,False
1,8,8,1,2.6241908073425293,0.405029296875,0.4093720316886902,1.9814453125,0.681640625,False,,,False
1,9,9,1,1.7010478973388672,0.1224365234375,0.7098531723022461,0.6455078125,-0.03302001953125,False,,,False
1,10,10,1,1.385911226272583,0.296630859375,0.6094496250152588,0.2548828125,0.178955078125,False,,,False
1,11,11,1,1.5885229110717773,0.62646484375,1.9324512481689453,0.77880859375,-1.7724609375,False,,,False
1,12,12,1,1.4939727783203125,-0.7353515625,0.568488359451294,-0.82177734375,0.268798828125,False,,,False
1,13,13,1,1.359632968902588,1.1279296875,0.7764296531677246,0.662109375,-0.1551513671875,False,,,False
1,14,14,1,1.2933995723724365,0.306884765625,0.7780444622039795,0.08734130859375,-0.1531982421875,False,,,False
1,15,15,1,1.3966155052185059,0.370361328125,0.6168312430381775,0.32568359375,0.163330078125,False,,,False
1,16,16,1,1.4626421928405762,0.41259765625,0.7038062810897827,0.4619140625,-0.01293182373046875,False,,,False
1,17,17,1,1.4979901313781738,0.061981201171875,0.5603012442588806,0.25927734375,0.2919921875,False,,,False
1,18,18,1,1.6640150547027588,0.30078125,0.6142042875289917,0.70703125,0.1654052734375,False,,,False
1,19,19,1,1.6930179595947266,-0.057891845703125,0.4659232199192047,0.4921875,0.5224609375,False,,,False
1,20,20,1,1.640537977218628,0.266845703125,0.5945346355438232,0.65185546875,0.2081298828125,False,,,False
